"conference_acronym","conference_name","conference_location"
"ICBDSC--ACM, Ei & Scopus 2019","ACM--2019 2nd International Conference on Big Data and Smart Computing (ICBDSC 2019)--Ei Compendex & Scopus","Bali, Indonesia"
"APIT 2019","2019 Asia Pacific Information Technology Conference APIT in Jeju Island, South Korea","Jeju Island, South Korea"
"Meche 2018","6th International Conference On Mechanical Engineering","Dubai, UAE "
"DaKM  2018","3rd International Conference on Data Mining & Knowledge Management","Dubai, UAE"
"AISC  2018","6th International Conference on Artificial Intelligence, Soft Computing ","Dubai,UAE"
"CHEME  2018","3rd International Conference on Chemical Engineering","Dubai, UAE "
"ACITY  2018","8th International Conference on Advances in Computing and Information Technology ","Melbourne, Australia"
"P2PTM  2018","8th International Conference on Peer-to-Peer Networks and Trust Management ","Melbourne, Australia"
"WeST  2018","10th International Conference on Web services & Semantic Technology","Melbourne, Australia"
"ITNG 2019","16th International Conference on Information Technology: New Generations","Las Vegas, NV"
"SI-TNNLS-SMLMATA 2018","TNNLS Special Issue on Structured Multi-output Learning: Modelling, Algorithm, Theory and Applications","N/A"
"BDMIOM 2018","The 1st International Workshop on Big Data for Marketing Intellegence and Operation Management","Seattle, WA"
"AutoML 2018","The Second International Workshop on Automation in Machine Learning and Big Data","Seattle, WA, USA"
"BigGraphs 2018","International Workshop on High Performance Big Graph Data Management, Analysis, and Mining (BigGraphs)","Seattle, WA"
"ABCSS 2018","The 3rd International Workshop on Application of Big Data for Computational Social Science","Seattle, WA, USA"
"ICBTA--ACM, Ei Compendex and Scopus 2018","ACM--2018 International Conference on Blockchain Technology and Applications (ICBTA 2018)--Ei Compendex and Scopus","Xi'an, China"
"SDM 2019","2019 SIAM International Conference on Data Mining","Hyatt Regency Calgary, Calgary, Alberta,"
"Call for Participants 2018","2018 International Conference on Environmental and Water Resources Engineering (EWRE 2018)","Jeju Island, Korea"
"Call for Participants 2018","2018 International Conference on Green Energy and Sustainable Development (GESD 2018)","Jeju Island, Korea"
"PAKDD 2019","Pacific-Asia Conference on Knowledge Discovery and Data Mining","Macau, China"
"NICDL 2018","Nature-Inspired Computation in Data Mining and Machine Learning","Call for Book Chapters"
"MATE 2018","3rd International Conference of Advances in Materials Science and Engineering","Dubai,UAE"
"SEPDA 2018","CFP: The 3rd International Workshop on Semantics-Powered Data Analytics (SEPDA 2018)","Madrid, Spain"
"CoDS-COMAD YRS 2019","CoDS-COMAD 2019 Young Researchers Symposium","Kolkata, India"
"MSA 2018","Multivariate Statistical Analysis MSA 2018","Lodz, Poland"
"BDML--Ei Compendex and Scopus 2018","2018 International Conference on Big Data and Machine Learning (BDML 2018)--Ei Compendex and Scopus","Nagoya, Japan"
"MLPMEA 2018","Special Session On Machine Learning for Predictive Models in Engineering Applications, ICMLA 2018","Orlando, Florida, USA"
"RECPAD 2018","24th Portuguese Conference on Pattern Recognition ","Coimbra"
"ICBDR--Ei Compendex & Scopus 2018","2018 The 2nd International Conference on Big Data Research (ICBDR 2018)--Ei Compendex & Scopus","Weihai, China"
"ADC 2019","2019 Australasian Database Conference","Sydney"
"LPKM 2018","International Workshop on Language Processing and Knowledge Management","Tunisia Sfax"
"BDIOT--Ei Compendex and Scopus 2018","2018 2nd International Conference on Big Data and Internet of Things (BDIOT 2018)--Ei Compendex and Scopus","Beijing, China"
"CIMA 2018","8th International Workshop on Combinations of Intelligent Methods and Applications","Volos, Greece"
"NGDS 2018","Call for the 2018 Next Generation Data Scientist (NGDS) Award","Turin, Italy"
"DIT 2018","Workshop on Data-Driven Intelligent Transportation (in Conjunction with ICDM'18)","Singapore"
"CPPS 2018","CYBER PHYSICAL PRODUCTION SYSTEMS: THEORY AND PRACTICES","Leuven, Belgium"
"ADMiS 2018","International Workshop on Adapting Data Mining for Security 2018","Singapore"
"ACML-MoL 2018","ACML 2018 Workshop on Multi-output Learning","Beijing, China"
"TIST Special Issue  2018","ACM TIST Special Issue on Advances in Causal Discovery and Inference","N/A"
"LKE 2018","Language and Knowledge Engineering- 6th Symposium. 29-31 Oct 2018. Puebla, Mexico","Puebla, Mexico"
"CDEC 2018","The 1st International Workshop on Cross-disciplinary Data Exchange and Collaboration (CDEC)","Singapore"
"DSEA 2018","The Second International Workshop on Data Science Engineering and its Applications ","Valencia, Spain"
"DaMNet 2018","The 8th IEEE ICDM Workshop on Data Mining in Networks","Singapore"
"BlockSEA 2018","Workshop on Blockchain and Sharing Economy Applications (Co-located with IEEE ICDM'18)","Singapore"
"BDSN 2018","The 6th International workshop on Big Data and Social Networking Management and Security","Valencia, Spain"
"OSNT 2018","The Fourth International Workshop on Online Social Networks Technologies ","Valencia, Spain"
"DELL@ICDM 2018","[CFP] IEEE ICDM 2018 Workshop on Developmental Learning (DELL 2018)","Singapore"
"AISB 2018","Artificial Intelligence for Synthetic Biology","Arlington, VA"
"SIR 2018","CIKM 2018 Workshop on Social Interaction-based Recommendation","Turin (Italy)"
"SMCDC 2018","2018 Smoky Mountains Conference Data Challenge.","Gatlinburg, TN"
"E&C 2018","3rd International Conference on Electrical & Computer Engineering ","Dubai,UAE"
"SIPR  2018","4th International Conference on Signal Processing and Pattern Recognition","Dubai,UAE"
"ICIIT 2018","International Conference on Intelligent Information Technologies ","CHENNAI, INDIA"
"EEEN  2018","3rd International Conference on Electrical and Electronics Engineering ","Dubai,UAE"
"SNAMS 2018","The Fifth International Conference on Social Networks Analysis, Management and Security","Valencia, Spain"
"FATREC 2018","The 2nd FATREC Workshop on Responsible Recommendation","Vancouver, Canada"
"IAL@ECMLPKDD 2018","Interactive Adaptive Learning","Dublin, Ireland"
"RDSM 2018","Workshop on Rumours and Deception in Social Media ","Turin, Italy"
"AusDM2018-Call For Tutorials 2018","Australasian Data Mining Conference (AusDM) 2018 - Call For Tutorials","Bathurst, NSW, Australia"
"AusDM 2018","Australasian Data Mining Conference","Bathurst, Australia"
"AAIM 2018","Twelfth International Conference on Algorithmic Aspects in Information and Management ","Dallas, TX, United States"
"ICCBD--ACM, EI and Scopus 2018","ACM--2018 International Conference on Computing and Big Data (ICCBD 2018)--EI Compendex and Scopus","South Carolina, USA"
"recsysktl 2018","The 2nd Workshop on Intelligent Recommender Systems by Knowledge Transfer & Learning","Vancouver, Canada"
"SoGood 2018","Third Workshop on Data Science for Social Good (SoGood 2018)@ECML/PKDD 2018","Dublin, Ireland"
"DARE 2018","ECMLPKDD 2018, 6th International Workshop on Data Analytics for Renewable Energy Integration","Dublin, Ireland"
"OnTheMove 2018","<U+25B6> CFP: OntheMove Federated Conferences 2018, Valletta, Malta, 22-26 October 2018","Valletta, Malta"
"IDEAL  2018","19th International Conference on Intelligent Data Engineering and Automated Learning","Madrid"
"CIIS 2018","Computational Intelligence in Information Systems","Brunei"
"ACM--BDET--Ei Compendex and Scopus 2018","ACM--2018 International Conference on Big Data Engineering and Technology (BDET 2018)--Ei Compendex and Scopus","Chengdu, China"
"LIDTA 2018","2nd International Workshop on Learning with Imbalanced Domains - Theory and Applications (@ECML/PKDD 2018)","Dublin, Ireland"
"PAP 2018","Personal Analytics and Privacy","Dublin, Ireland"
"ICDIM 2018","Thirteenth International Conference on Digital Information Management (ICDIM 2018)","Berlin"
"MIDAS 2018","MIDAS @ECML-PKDD 2018 - 3rd Workshop on MIning DAta for financial applicationS","Dublin, Ireland"
"MLSA 2018","Machine Learning and Data Mining for Sports Analytics (Workshop @ ECML/PKDD 2018)","Dublin, Ireland"
"AutSys 2018","11th GI Conference on Autonomous Systems","Cala Millor, Majorca, Spain"
"KDD-DeepLearningDay 2018","ACM SIGKDD 2018 Deep Learning Day Call for Papers","London, UK"
"SAI 2018","7th International Conference on Soft Computing, Artificial Intelligence and Applications - UGC Listed Proceedings","Chennai,India"
"ICCBDC--ACM, Ei Compendex and Scopus 2018","2018 2nd International Conference on Cloud and Big Data Computing (ICCBDC 2018)--ACM, Ei   Compendex and Scopus","Barcelona, Spain"
" SOFT 2018","4th International Conference on Software Engineering","Chennai,India"
"CMC  2018","4th International Conference on Control, Modeling and Computing ","Chennai, India"
"Big Data 2018","The 6th International Workshop on Big Data","China"
"ICMLB 2018","International Conference on Machine Learning and Big Data 2018","Essex, UK"
"DMAP 2018","4th International Conference on Data Mining and Applications","Dubai, UAE"
"ADMA 2018","Advanced Data Mining and Applications","Nanjing, China"
"BI 2018","The 11th International Conference on Brain Informatics","Arlington, TX"
"GCCE-OS-DSC 2018","IEEE GCCE 2018 Organized Session on Data Science and Its Application to Consumer Technology","Nara, Japan"
"KDML 2018","Workshop on Knowledge Discovery, Data Mining and Machine Learning","Mannheim"
"SNMAM 2018","Track on Social Network and Media Analysis and Mining - SIMBig 2018","Lima, Peru"
"ICDM 2018","IEEE International Conference on Data Mining","Singapore"
"ML-ISAPR 2018","1st Workshop on Machine Learning, Intelligent Systems and Statistical Analysis for Pattern Recognition in Real-life Scenarios (ML-ISAPR 2018)","Zakynthos, Greece"
"AKTS 2018","Special Session on Innovative Applications for Knowledge Transfer Support","Vilnius, Lithuania"
"ICDATA 2018","14th International Conference on Data Science","Las Vegas, NV USA"
"CD 2018","The 2018 ACM SIGKDD Workshop on Causal Discovery ","London"
"BigMine 2018","7th BigMine Workshop on Big Data Mining (at SIGKDD 2018) ","London"
"BigScholar 2018","The KDD 2018 Workshop on Big Scholarly Data","London, United Kingdom"
"ODD 2018","ACM SIGKDD Workshop on Outlier Detection De-constructed (KDD-ODD 2018)","London, UK"
"MLG 2018","14th International Workshop on Mining and Learning with Graphs","London, UK"
"CONFENIS 2018","International Conference on Research and Practical Issues of Enterprise Information Systems ","Poznan, Poland"
"DS-RAIT 2018","5th Doctoral Symposium on Recent Advances in Information Technology","Poznan, Poland"
"BDTA 2018","The 9th EAI International Conference on Big Data Technologies and Applications","Exeter, 2018"
"BIOKDD 2018","17th International Workshop on Data Mining in Bioinformatics (with SIGKDD'18)","London, UK"
"IDEA 2018","KDD Workshop on Interactive Data Exploration and Analytics (KDD-IDEA) 2018","London, UK"
"SEBD 2018","26th Italian Symposium on Advanced Database Systems ","Castellaneta Marina (Taranto), Italy"
"KES 2018 PR-TAC 2018","KES Invited Session on Pattern Recognition: Trends, Applications and Challenges","Belgrade, Serbia"
"PACMA 2018","Physiological and Affective Computing: Methods and Applications","Melbourne, Australia"
"PHSS 2018","Perspectives in Humanities and Social Sciences: Hinting at Interdisciplinarity. 5th edition: Mapping Digital Futures","Romania, Iasi"
"ECML-PKDD 2018","European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases","Dublin, Ireland"
"BDAA 2018","The 5th International Symposium on Big Data Principles, Architectures & Applications (BDAA 2018)","Orl¨¦ans, France"
"IMMM 2018","The Eighth International Conference on Advances in Information Mining and Management","Barcelona, Spain"
"MSTED 2018","Mining Streaming and Time-Evolving Data (ECDA spec. session)","Paderborn (Germany)"
"IEEE--ICAIBD--Ei Compendex and Scopus 2018","IEEE--2018 International Conference on Artificial Intelligence and Big Data (ICAIBD 2018)--Ei Compendex and Scopus","Chengdu, China"
"Sideways  2018","4th International Workshop on Social Media World Sensors ","Crete - Greece"
"IMPAct Workshop (Pervasive Health) 2018","Improving healthcare through service design and patient empowerment technologies","New York"
"TSD 2018","Twenty-first International Conference on TEXT, SPEECH and DIALOGUE","Brno, Czech Republic"
"ITA 2018","5th Annual International Conference on Information Technology and Applications","Guilin, Guanxi, China"
"FSDM 2018","4th International Conference on Fuzzy Systems and Data Mining","Bangkok, Thailand"
"Data Analysis - TSP 2018","Multivariate Data Analysis and Knowledge Discovery ¨C From Theory to Applications Special Session on TSP 2018 | IEEE R8 | IEEE Xplore<U+00AE> | SCOPUS","Athens, Greece"
"MISNC 2018","The 5th Multidisciplinary International Social Networks Conference","France"
"ST-Analytics 2018","Spatio-Temporal Analytics @ ICCSA 2018","Melbourne, Australia"
"4TH IEEE IMP 2018","4th IEEE CiSt'18 focused Conference on Information and Multimedia Processing","Marrakesh, Morocco"
"DEW 2018","Data Exploration in the Web 3.0 Age (IEEE WETICE 2018 track)","Paris, France"
"SeCoP 2018","The 5th International Symposium on Semantic Computing and Personalization","Gold Coast, Australia"
"WPDM 2018","The Second International Workshop on Parallel and Distributed Data Mining","Melbourne, Australia"
"IEEE FRUCT 2018","22nd Conference of Open Innovations Association FRUCT","Jyvaskyla, Finland"
"INISTA  2018","IEEE International Conference on Innovations in Intelligent SysTems and Applications ","Thessaloniki, Greece"
"TMonJobAds 2018","Text Mining on Job Advertisements - Strategies for discovering valuable information from large corpora ","Cologne"
"EDM 2018","The 11th International Conference on Educational Data Mining ¨C EDM 2018 Preliminary Call for Papers","University at Buffalo, New York, United "
"ISHIMR 2018","18th International Symposium for Health Information Management Research","Enschede, the Netherlands"
"[Deadline Extended] APWeb-WAIM 2018","The APWeb-WAIM Joint Conference on Web and Big Data","Macau, China"
"WASMM 2018","Web and Social Media Mining","Toledo (Spain)"
"KDD 2018","Knowledge Discovery and Data Mining Conference","London, UK"
"COST 2018","International Workshop on Cost-Sensitive Learning (at SDM'2018)","San Diego, California"
"HIJJ 2018","Health Informatics: An International Journal ","N/A"
"BDAS 2018","14th (IFIP and IEEE technically co-sponsored) International Conference Beyond Databases, Architectures and Structures during IFIP World Computer Congres (IFIP WCC)","Poznan, Poland"
"NAIDES@WCCI CEC 2018","WCCI 2018 Special Session on  Nature-inspired Design, Evolution, and Optimization of Intelligent Systems","Rio de Janeiro, Brazil"
"CAMSA 2018","2018 Computer Aided Modeling, Simulation and Analysis ","Monash University, Melbourne, Australia"
"DMG2 2018","Workshop on Data Mining for Geophysics and Geology ","San Diego, California"
"IEEE-CEM 2018","IEEE Consumer Electronics Magazine - Special Issue on Innovative Application of Machine Learning for End Consumers","N/A"
"IEEE TETCI 2018","IEEE Transactions on Emerging Topics in Computational Intelligence Special Issue on Computational Intelligence in Data-Driven Optimization","N/A"
"CLA 2018","The 14th International Conference on Concept Lattices and Their Applications","Olomouc, Czech Republic"
"SoAPS 2018","ECIR Workshop on Social Aspects in Personalization and Search","Grenoble (France)"
"AIAI 2018","14th Artificial Intelligence Applications and Innovations 2018","Rhodes island Greece"
"BigNet 2018","The 3rd International Workshop on Learning Representations for Big Networks @ The Web Conference 2018","Lyon, France"
" Empowering Deep Learning@IJCNN 2018","Special Session on Empowering Deep Learning Models @ WCCI (IJCNN) 2018","Rio de Janeiro, Brazil"
"DMDMS 2018","2nd International Workshop on Data Ming for Decision Making Support","Porto, Portugal"
"N/A 2018","Special Issue on Granular Computing in Financial Engineering, Journal of Granular Computing ","N/A"
"SDMA 2018","5th Symposium on Data Mining Applications (SDMA2018)","Riyadh"
"MLRec 2018","MLRec 2018: 4th International Workshop on Machine Learning Methods for Recommender Systems (In conjunction with SDM 2018)","San Diego, CA, U.S.A"
"IFAC INCOM SIMCA 2018","IFAC INCOM 2018 SIMCA Special Session","Bergamo, Italy"
"ICME 2018","IEEE International Conference on Multimedia and Expo","San Diego, California, USA"
"IEEE TETC SI 2017","IEEE Transactions on Emerging Topics in Computing, Special Issue on Scholarly Big Data","N/A"
"IEEE BigDataService 2018","The Fourth IEEE INTERNATIONAL CONFERENCE ON BIG DATA COMPUTING SERVICE AND APPLICATIONS","Bamberg, Germany"
"MIS2 @ WSDM 2018","Misinformation and Misbehavior Mining on the Web workshop","Los Angeles"
"DM_FLAIRS 2018","FLAIRS-2018 Special Track on Data Mining","Melbourne, FL  USA"
"HeteroNAM 2018","International Workshop on Heterogeneous Networks Analysis and Mining","Los Angeles, California, USA"
"AI4Health 2018","International Workshop on Artificial Intelligence for Health","Funchal, Madeira (Portugal)"
"IRJ-SI 2018","Information Retrieval Journal - Special Issue on ¡°Social Media for Personalization and Search¡±","N/A"
"ICCTIM 2017","The 3rd International Conference on Computing Technology and Information Management","Metropolitan College, Greece"
"data-driven 2017","Special Issue on ¡°Data-Driven User Behavioral Modeling: From Real-World Behavior to Knowledge, Algorithms, and Systems¡±","N/A"
"DSCI 2018","Special Session on Data Science and Computational Intelligence (at The 10th Asian Conference on Intelligent Information and Database Systems)","Dong Hoi City, Vietnam"
"PAKDD 2018","The 22nd Pacific-Asia Conference on Knowledge Discovery and Data Mining","Melbourne, Australia"
"SDM 2018","CFP SDM'18: SIAM International Conference on Data Mining","San Diego, USA"
"SocialNLP 2017","The 5th International Workshop on Natural Language Processing for Social Media","Boston, MA, USA"
"SABID 2017","Workshop on Solar & Stellar Astronomy BIg Data (SABID)","Boston, MA"
"SABID 2017","Workshop on Solar & Stellar Astronomy BIg Data (SABID)","Boston, MA"
"DRCN 2018","14th International Conference on the Design of Reliable Communication Networks (DRCN 2018)","Orange Gardens, Paris area, France"
"DRCN 2018","Design of Reliable Communication Networks","Orange Gardens, Paris area, France"
"SDM 2018","Workshop Proposals - SDM'18: THE EIGHTEENTH SIAM INTERNATIONAL CONFERENCE ON DATA MINING","San Diego, USA"
"IET ITS SI 2017","IET Intelligent Transport Systems, Special Issue on Big Traffic Data Analysis and Mining","N/A"
"BIBM SEPDA 2017","CFP for the 2nd International Workshop on Semantics-Powered Data Analytics (SEPDA 2017)","Kansas City, MO, USA"
"KARE  2017","KARE 2017 - The 9th International Workshop on Knowledge Acquisition Reuse & Evaluation","Jaipur, India"
"VICTA 2017","Workshop on Visions on Internet of Cultural Things and Applications","Jaipur, India"
"IEEE ITNEC 2017","2017 IEEE 2nd Information Technology,Networking,Electronic and Automation Control Conference","ChengDu,China"
"PredictGIS 2017","1st Workshop on Prediction of Human Mobility at ACM SIGSPATIAL 2017 (PredictGIS 2017)","Redondo Beach, California, USA"
"ACM SAC-RS 2018","ACM SIGAPP Symposium On Applied Computing 2018 - Track on Recommender Systems: Theory, User Interactions and Applications","Pau, France"
"IEEE FRUCT 2017","21st Conference of Open Innovations Association FRUCT","Helsinki, Finland"
"TAAI 2017","The 22nd Conference on Technologies and Applications of Artificial Intelligence [Deadline Extended]","Taipei, Taiwan"
